==22727== NVPROF is profiling process 22727, command: ./gauss_gpu img/src/facultad.jpg img/dest/facultad.jpg 2 16
==22727== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22727== Profiling application: ./gauss_gpu img/src/facultad.jpg img/dest/facultad.jpg 2 16
Width:1024, Height:768 Size(in Bytes):9437184
block.x=2, block.y=16, grid.x=512, grid.y=48
Time: 5.835472
Done!
==22727== Profiling result:
==22727== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GT 1030 (0)"
    Kernel: ComputeConvolution(unsigned char*, unsigned char const *, int, int, float*, int)
          3                                issued_ipc                                                            Issued IPC    0.795305    0.798002    0.797060
          3                    issue_slot_utilization                                                Issue Slot Utilization      17.07%      17.13%      17.11%
          3                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.778656    0.784943    0.780792
          3                           tex_utilization                                             Unified Cache Utilization     Low (2)     Low (2)     Low (2)
          3                            l2_utilization                                                  L2 Cache Utilization     Low (3)     Low (3)     Low (3)
          3                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          3                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          3                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          3                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          3                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (2)     Low (2)     Low (2)
          3           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (2)     Low (2)     Low (2)
          3           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          3                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          3                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       1.13%       1.13%       1.13%
